Commodity,sum_value_import,nums_country_import,country_with_max_value_import,max_value_import,longest_consecutive_year_import,sum_value_export,nums_country_export,country_with_max_value_export,max_value_export,longest_consecutive_year_export,balance
LIVE ANIMALS.,149.68999999999994,485,U S A,4.07,9,386.19000000000005,457,U ARAB EMTS,55.18,9,236.5000000000001
"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",51.449999999999996,229,SRI LANKA DSR,2.19,9,2204.54,771,U S A,326.71,9,2153.09
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,3937.5699999999915,894,CHINA P RP,225.5,9,39782.380000000056,1865,U S A,2472.97,9,35844.81000000006
MISCELLANEOUS EDIBLE PREPARATIONS.,1303.26,736,U S A,106.81,9,5178.789999999991,1530,U S A,159.29,9,3875.5299999999907
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2865.159999999998,795,CHINA P RP,377.04,9,20343.830000000024,1840,U S A,570.26,9,17478.670000000027
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",2089.7899999999986,852,CHINA P RP,197.89,9,62335.470000000016,1841,U ARAB EMTS,2114.92,9,60245.680000000015
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2737.029999999998,452,BANGLADESH PR,195.79,9,3534.729999999995,1354,CHINA P RP,117.17,9,797.6999999999971
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,833.1100000000004,565,CHINA P RP,37.89,9,14488.630000000025,1649,U S A,925.08,9,13655.520000000024
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",5749.239999999992,837,CHINA P RP,539.19,9,11624.250000000011,1747,U S A,538.83,9,5875.010000000019
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",64.35000000000001,320,CHINA P RP,2.9,9,92.17999999999994,574,U S A,4.68,9,27.829999999999927
ZINC AND ARTICLES THEREOF.,4540.2899999999945,933,KOREA RP,432.19,9,5727.619999999992,966,CHINA P RP,288.4,9,1187.3299999999972
